event_id,event_type,detector,stream_position,timestamp,model_version,window_size,metric_context,detector_state
1,drift,ADWIN,383,2026-09-08T09:15:39,baseline_v1,64.0,"{""rolling_error_500"": 0.8724, ""cumulative_error"": 0.8724}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 384, ""n_drifts"": 1, ""window_size"": 64.0, ""estimation"": 0.46875}"
2,drift,ADWIN,575,2026-09-08T09:15:39,baseline_v1,64.0,"{""rolling_error_500"": 0.574, ""cumulative_error"": 0.6285}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 576, ""n_drifts"": 2, ""window_size"": 64.0, ""estimation"": 0.421875}"
3,drift,ADWIN,671,2026-09-08T09:15:39,baseline_v1,56.0,"{""rolling_error_500"": 0.526, ""cumulative_error"": 0.625}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 672, ""n_drifts"": 3, ""window_size"": 56.0, ""estimation"": 0.42857142857142855}"
4,drift,ADWIN,767,2026-09-08T09:15:39,baseline_v1,64.0,"{""rolling_error_500"": 0.39, ""cumulative_error"": 0.5833}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 768, ""n_drifts"": 4, ""window_size"": 64.0, ""estimation"": 0.4375}"
5,drift,ADWIN,959,2026-09-08T09:15:39,baseline_v1,64.0,"{""rolling_error_500"": 0.56, ""cumulative_error"": 0.6406}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 960, ""n_drifts"": 5, ""window_size"": 64.0, ""estimation"": 0.640625}"
6,drift,ADWIN,1087,2026-09-08T09:15:39,baseline_v1,80.0,"{""rolling_error_500"": 0.572, ""cumulative_error"": 0.6029}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 1088, ""n_drifts"": 6, ""window_size"": 80.0, ""estimation"": 0.5125}"
7,drift,ADWIN,1215,2026-09-08T09:15:39,baseline_v1,96.0,"{""rolling_error_500"": 0.564, ""cumulative_error"": 0.5781}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 1216, ""n_drifts"": 7, ""window_size"": 96.0, ""estimation"": 0.4583333333333333}"
8,drift,ADWIN,1311,2026-09-08T09:15:39,baseline_v1,80.0,"{""rolling_error_500"": 0.554, ""cumulative_error"": 0.5854}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 1312, ""n_drifts"": 8, ""window_size"": 80.0, ""estimation"": 0.6625}"
9,drift,ADWIN,2175,2026-09-08T09:15:39,baseline_v1,96.0,"{""rolling_error_500"": 0.96, ""cumulative_error"": 0.7353}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 2176, ""n_drifts"": 9, ""window_size"": 96.0, ""estimation"": 0.8229166666666666}"
10,drift,ADWIN,3903,2026-09-08T09:15:40,baseline_v1,64.0,"{""rolling_error_500"": 0.932, ""cumulative_error"": 0.832}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 3904, ""n_drifts"": 10, ""window_size"": 64.0, ""estimation"": 0.546875}"
11,drift,ADWIN,3999,2026-09-08T09:15:40,baseline_v1,64.0,"{""rolling_error_500"": 0.802, ""cumulative_error"": 0.8195}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 4000, ""n_drifts"": 11, ""window_size"": 64.0, ""estimation"": 0.453125}"
12,drift,ADWIN,4127,2026-09-08T09:15:40,baseline_v1,96.0,"{""rolling_error_500"": 0.726, ""cumulative_error"": 0.8154}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 4128, ""n_drifts"": 12, ""window_size"": 96.0, ""estimation"": 0.7291666666666666}"
13,drift,ADWIN,4351,2026-09-08T09:15:40,baseline_v1,128.0,"{""rolling_error_500"": 0.666, ""cumulative_error"": 0.8176}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 4352, ""n_drifts"": 13, ""window_size"": 128.0, ""estimation"": 0.9921875}"
14,drift,ADWIN,4671,2026-09-08T09:15:40,baseline_v1,128.0,"{""rolling_error_500"": 0.866, ""cumulative_error"": 0.8213}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 4672, ""n_drifts"": 14, ""window_size"": 128.0, ""estimation"": 0.6796875}"
15,drift,ADWIN,5023,2026-09-08T09:15:40,baseline_v1,64.0,"{""rolling_error_500"": 0.858, ""cumulative_error"": 0.8278}","{""detector"": ""ADWIN"", ""delta"": 0.002, ""n_seen"": 5024, ""n_drifts"": 15, ""window_size"": 64.0, ""estimation"": 0.609375}"
