window,feature,mean,std,median
0,Source Port,39389.2689,21361.7039,49025.0
0,Destination Port,7518.5165,16683.212,80.0
0,Protocol,8.7831,4.7864,6.0
0,Flow Duration,10795690.1051,27401267.2552,46868.5
0,Total Fwd Packets,4.9515,19.6848,2.0
0,Total Backward Packets,5.1306,28.6789,2.0
0,Total Length of Fwd Packets,545.3516,2975.9329,26.0
0,Total Length of Bwd Packets,5518.3358,50622.4866,94.0
0,Fwd Packet Length Max,244.7168,1085.8326,20.0
0,Fwd Packet Length Min,19.6243,101.2599,2.0
0,Fwd Packet Length Mean,74.8794,299.6665,8.6667
0,Fwd Packet Length Std,88.5945,458.2253,0.0
0,Bwd Packet Length Max,1375.9754,2777.8663,54.0
0,Bwd Packet Length Min,29.616,57.6379,6.0
0,Bwd Packet Length Mean,462.008,852.3981,50.0
0,Bwd Packet Length Std,589.2903,1282.5192,0.0
0,Flow Bytes/s,1126911.877,24333024.8999,12312.7695
0,Flow Packets/s,44087.5267,186780.3988,87.3935
0,Flow IAT Mean,870379.1435,2716025.9611,14310.7875
0,Flow IAT Std,2092342.1864,5802241.1772,4795.4048
1,Source Port,36879.5335,22828.059,45645.0
1,Destination Port,8994.5389,19790.3937,80.0
1,Protocol,6.5009,2.2946,6.0
1,Flow Duration,18929298.2832,31908357.7554,3344674.0
1,Total Fwd Packets,4.4198,8.2227,4.0
1,Total Backward Packets,3.9192,11.3775,5.0
1,Total Length of Fwd Packets,1066.7827,3285.696,26.0
1,Total Length of Bwd Packets,5880.7596,24195.2066,258.0
1,Fwd Packet Length Max,648.4474,2102.671,20.0
1,Fwd Packet Length Min,26.8437,175.8452,0.0
1,Fwd Packet Length Mean,197.9196,569.7956,7.1429
1,Fwd Packet Length Std,265.1262,901.2746,5.6569
1,Bwd Packet Length Max,3509.8773,3953.3693,133.5
1,Bwd Packet Length Min,5.7156,33.6125,0.0
1,Bwd Packet Length Mean,1133.7517,1188.0215,129.0
1,Bwd Packet Length Std,1598.4114,1852.7422,9.8995
1,Flow Bytes/s,210180.1783,9672575.048,148.6051
1,Flow Packets/s,4157.309,62698.7806,1.7023
1,Flow IAT Mean,1921894.934,2523034.4079,696315.3333
1,Flow IAT Std,5397072.4388,8023433.422,1618168.2145
2,Source Port,40407.04,23282.4038,49717.0
2,Destination Port,9428.5308,20551.4372,80.0
2,Protocol,8.4654,4.5927,6.0
2,Flow Duration,14570991.7269,32281280.7678,776369.0
2,Total Fwd Packets,5.763,84.1506,3.0
2,Total Backward Packets,5.5627,122.9653,2.0
2,Total Length of Fwd Packets,911.6177,3542.2243,30.0
2,Total Length of Bwd Packets,7153.3297,261091.2024,120.0
2,Fwd Packet Length Max,495.5805,1749.2032,20.0
2,Fwd Packet Length Min,30.5617,159.1409,6.0
2,Fwd Packet Length Mean,150.5898,465.3709,8.6667
2,Fwd Packet Length Std,192.4557,739.8793,0.0
2,Bwd Packet Length Max,1983.5145,3300.192,77.0
2,Bwd Packet Length Min,26.2555,67.3199,0.0
2,Bwd Packet Length Mean,653.0684,1003.5116,70.3571
2,Bwd Packet Length Std,878.1646,1539.2735,0.0
2,Flow Bytes/s,764788.1806,17543968.72,2935.7192
2,Flow Packets/s,21808.817,139718.5179,9.9372
2,Flow IAT Mean,1395888.1416,2967792.3204,124268.5
2,Flow IAT Std,3534689.7385,7634736.2052,267407.2645
3,Source Port,38910.1728,24277.1364,50612.0
3,Destination Port,7133.9506,17206.3944,80.0
3,Protocol,11.4244,5.5043,6.0
3,Flow Duration,12147392.6369,31058893.4313,32291.0
3,Total Fwd Packets,21.2829,1579.1947,2.0
3,Total Backward Packets,26.4187,2128.2106,2.0
3,Total Length of Fwd Packets,615.6273,10547.4996,70.0
3,Total Length of Bwd Packets,51220.6843,4767878.4724,154.0
3,Fwd Packet Length Max,166.7263,509.7793,42.0
3,Fwd Packet Length Min,23.1456,36.1358,6.0
3,Fwd Packet Length Mean,49.6562,99.2478,38.8889
3,Fwd Packet Length Std,47.8628,143.6731,0.0
3,Bwd Packet Length Max,415.8643,823.5659,97.0
3,Bwd Packet Length Min,59.3055,79.2402,23.0
3,Bwd Packet Length Mean,175.0044,286.4181,89.0
3,Bwd Packet Length Std,128.438,282.9768,0.0
3,Flow Bytes/s,1677886.8602,18704060.1963,5743.1137
3,Flow Packets/s,54041.5566,217484.2503,86.9522
3,Flow IAT Mean,1154325.3252,4872894.5916,15556.0417
3,Flow IAT Std,1955146.6327,7046279.8999,144.9149
4,Source Port,37955.0138,24246.597,50886.5
4,Destination Port,6523.6197,16337.3253,80.0
4,Protocol,11.5271,5.5087,17.0
4,Flow Duration,11012667.632,30257630.6226,30868.0
4,Total Fwd Packets,6.2894,32.85,2.0
4,Total Backward Packets,6.3597,46.8428,2.0
4,Total Length of Fwd Packets,549.359,3882.3755,68.0
4,Total Length of Bwd Packets,5580.8543,90356.7336,148.0
